,Date,3 mo
2862,2001-06-07,3.63
2863,2001-06-08,3.64
2864,2001-06-11,3.60
2865,2001-06-12,3.56
2866,2001-06-13,3.55
2867,2001-06-14,3.56
2868,2001-06-15,3.52
2869,2001-06-18,3.52
2870,2001-06-19,3.51
2871,2001-06-20,3.49
2872,2001-06-21,3.51
2873,2001-06-22,3.45
2874,2001-06-25,3.46
2875,2001-06-26,3.46
2876,2001-06-27,3.52
2877,2001-06-28,3.64
2878,2001-06-29,3.65
2879,2001-07-02,3.67
2880,2001-07-03,3.66
2881,2001-07-05,3.65
2882,2001-07-06,3.63
2883,2001-07-09,3.65
2884,2001-07-10,3.63
2885,2001-07-11,3.58
2886,2001-07-12,3.60
2887,2001-07-13,3.62
2888,2001-07-16,3.64
2889,2001-07-17,3.61
2890,2001-07-18,3.54
2891,2001-07-19,3.55
2892,2001-07-20,3.53
2893,2001-07-23,3.56
2894,2001-07-24,3.56
2895,2001-07-25,3.56
2896,2001-07-26,3.56
2897,2001-07-27,3.55
2898,2001-07-30,3.57
2899,2001-07-31,3.54
2900,2001-08-01,3.53
2901,2001-08-02,3.53
2902,2001-08-03,3.52
2903,2001-08-06,3.52
2904,2001-08-07,3.52
2905,2001-08-08,3.49
2906,2001-08-09,3.45
2907,2001-08-10,3.43
2908,2001-08-13,3.45
2909,2001-08-14,3.43
2910,2001-08-15,3.43
2911,2001-08-16,3.39
2912,2001-08-17,3.36
2913,2001-08-20,3.42
2914,2001-08-21,3.39
2915,2001-08-22,3.38
2916,2001-08-23,3.40
2917,2001-08-24,3.42
2918,2001-08-27,3.45
2919,2001-08-28,3.41
2920,2001-08-29,3.42
2921,2001-08-30,3.36
2922,2001-08-31,3.37
2923,2001-09-04,3.44
2924,2001-09-05,3.41
2925,2001-09-06,3.34
2926,2001-09-07,3.27
2927,2001-09-10,3.26
2928,2001-09-13,2.74
2929,2001-09-14,2.64
2930,2001-09-17,2.59
2931,2001-09-18,2.48
2932,2001-09-19,2.19
2933,2001-09-20,2.22
2934,2001-09-21,2.25
2935,2001-09-24,2.38
2936,2001-09-25,2.40
2937,2001-09-26,2.38
2938,2001-09-27,2.38
2939,2001-09-28,2.40
2940,2001-10-01,2.37
2941,2001-10-02,2.26
2942,2001-10-03,2.23
2943,2001-10-04,2.21
2944,2001-10-05,2.19
2945,2001-10-09,2.22
2946,2001-10-10,2.22
2947,2001-10-11,2.27
2948,2001-10-12,2.25
2949,2001-10-15,2.25
2950,2001-10-16,2.22
2951,2001-10-17,2.22
2952,2001-10-18,2.19
2953,2001-10-19,2.19
2954,2001-10-22,2.22
2955,2001-10-23,2.20
2956,2001-10-24,2.17
2957,2001-10-25,2.14
2958,2001-10-26,2.14
2959,2001-10-29,2.09
2960,2001-10-30,2.05
2961,2001-10-31,2.05
2962,2001-11-01,2.06
2963,2001-11-02,2.01
2964,2001-11-05,2.01
2965,2001-11-06,1.85
2966,2001-11-07,1.80
2967,2001-11-08,1.84
2968,2001-11-09,1.83
2969,2001-11-13,1.84
2970,2001-11-14,1.87
2971,2001-11-15,1.92
2972,2001-11-16,1.95
2973,2001-11-19,1.94
2974,2001-11-20,1.95
2975,2001-11-21,1.96
2976,2001-11-23,1.95
2977,2001-11-26,1.98
2978,2001-11-27,1.92
2979,2001-11-28,1.87
2980,2001-11-29,1.80
2981,2001-11-30,1.78
2982,2001-12-03,1.78
2983,2001-12-04,1.74
2984,2001-12-05,1.77
2985,2001-12-06,1.75
2986,2001-12-07,1.69
2987,2001-12-10,1.71
2988,2001-12-11,1.66
2989,2001-12-12,1.67
2990,2001-12-13,1.69
2991,2001-12-14,1.73
2992,2001-12-17,1.74
